23.61,36.19
23.92,36.11
23.94,35.99
23.96,36.07
23.96,35.89
23.97,35.97
23.97,35.94
23.99,35.95
23.99,35.91
23.99,35.83
24.00,35.79
24.00,35.86
24.00,35.82
24.01,35.88
24.02,35.92
24.01,35.84
24.02,36.11
24.03,36.41
24.02,36.41
24.02,36.47
24.06,36.60
24.05,36.43
24.05,36.33
24.07,36.18
24.08,36.04
24.11,35.92
24.12,35.70
24.13,35.61
24.15,35.62
24.13,35.52
24.12,35.65
24.11,35.70
24.09,35.66
24.09,35.55
24.07,35.81
24.06,36.16
24.05,35.95
24.04,35.92
24.06,35.80
24.06,35.68
24.05,35.74
24.05,35.74
24.05,35.68
24.08,35.74
24.07,35.72
24.09,35.71
24.11,35.61
24.10,35.52
24.10,35.69
24.09,36.00
24.09,36.21
24.09,35.93
24.08,35.76
24.07,35.76
24.10,36.10
